Gene ID,Gene Name,Score(d),Numerator(r),Denominator(s+s0),FoldChange,q-value(%),PEP,Log10FoldChange,AbsLog10FoldChange
NCAPH,NCAPH,5559,5.889,5865,995.853,6.743,0,FALSE,0.82885315967664,0.82885315967664
TMEM63B,TMEM63B,9189,5.889,5865,995.853,2.136,0,FALSE,0.329601248356519,0.329601248356519
STIL,STIL,8598,5.886,5862,995.853,4.038,0,TRUE,0.60616631460762,0.60616631460762
ENTPD7,ENTPD7,2791,5.885,5861,995.853,2.768,0,TRUE,0.44216608578472,0.44216608578472
ESCO2,ESCO2,2865,5.884,5860,995.853,8.08,0,FALSE,0.907411360774586,0.907411360774586
CLEC5A,CLEC5A,1772,5.878,5854,995.853,8.142,0,TRUE,0.910731098043381,0.910731098043381
LMNB1,LMNB1,4714,5.875,5851,995.853,5.18,0,FALSE,0.714329759745233,0.714329759745233
KIFC1,KIFC1,4495,5.871,5847,995.853,7.439,0,FALSE,0.871514558708382,0.871514558708382
GTSE1,GTSE1,3746,5.866,5842,995.853,7.321,0,FALSE,0.86457040685343,0.86457040685343
RNASEH2A,RNASEH2A,7390,5.863,5839,995.853,2.864,0,FALSE,0.456973013635818,0.456973013635818
CCT3,CCT3,1433,5.857,5833,995.853,2.072,0,FALSE,0.316389751073195,0.316389751073195
KIF18A,KIF18A,4470,5.856,5832,995.853,5.562,0,FALSE,0.745230984528141,0.745230984528141
MRPL13,MRPL13,5297,5.856,5832,995.853,2.133,0,FALSE,0.328990855449429,0.328990855449429
PDXDC1,PDXDC1,6257,5.854,5830,995.853,1.899,0,FALSE,0.278524964737018,0.278524964737018
CCNF,CCNF,1413,5.851,5827,995.853,3.122,0,FALSE,0.494432898726399,0.494432898726399
E2F7,E2F7,2598,5.848,5824,995.853,7.028,0,FALSE,0.846831752823257,0.846831752823257
TACC3,TACC3,8744,5.847,5823,995.853,4.123,0,FALSE,0.615213334801359,0.615213334801359
TTK,TTK,9532,5.843,5819,995.853,7.62,0,FALSE,0.881954971339601,0.881954971339601
EZH2,EZH2,2935,5.842,5818,995.853,4.365,0,FALSE,0.639984248041589,0.639984248041589
STAU1,STAU1,8590,5.841,5817,995.853,1.412,0,FALSE,0.149834696715785,0.149834696715785
SHCBP1,SHCBP1,7942,5.84,5816,995.853,6.627,0,TRUE,0.821316970591097,0.821316970591097
RAD51,RAD51,7102,5.839,5815,995.853,5.55,0,FALSE,0.744292983122676,0.744292983122676
BCL9,BCL9,898,5.836,5812,995.853,2.221,0,FALSE,0.346548558548474,0.346548558548474
DEPDC1B,DEPDC1B,2317,5.836,5812,995.853,8.348,0,FALSE,0.921582440393416,0.921582440393416
CLSPN,CLSPN,1798,5.832,5808,995.853,8.851,0,TRUE,0.946992340748372,0.946992340748372
SLC20A1,SLC20A1,8043,5.824,5800,995.853,2.181,0,FALSE,0.3386556655787,0.3386556655787
UBAP2L,UBAP2L,9604,5.824,5800,995.853,1.692,0,FALSE,0.228400358703005,0.228400358703005
ADAMTS14,ADAMTS14,171,5.807,5783,995.853,10.281,0,FALSE,1.01203535914953,1.01203535914953
MMP1,MMP1,5230,5.803,5779,995.853,37.806,0,FALSE,1.57756072999877,1.57756072999877
ACTL6A,ACTL6A,139,5.8,5776,995.853,1.809,0,FALSE,0.257438566859814,0.257438566859814
SPC24,SPC24,8432,5.793,5768.5,995.853,6.316,0,FALSE,0.800442121336257,0.800442121336257
CENPM,CENPM,1608,5.792,5768,995.853,6.778,0,FALSE,0.831101564501359,0.831101564501359
STRBP,STRBP,8630,5.792,5768,995.853,2.306,0,FALSE,0.36285930295868,0.36285930295868
DCAF13,DCAF13,2216,5.791,5767,995.853,2.112,0,FALSE,0.324693913861775,0.324693913861775
PMM2,PMM2,6569,5.789,5765,995.853,1.89,0,FALSE,0.276461804173244,0.276461804173244
EPYC,EPYC,2830,5.785,5761.5,995.853,17.665,0,FALSE,1.24711364177086,1.24711364177086
KIF15,KIF15,4468,5.783,5759,995.853,7.036,0,TRUE,0.847325830785424,0.847325830785424
CENPA,CENPA,1601,5.781,5757,995.853,7.999,0,FALSE,0.903035696788497,0.903035696788497
ELAVL1,ELAVL1,2725,5.781,5757,995.853,1.419,0,FALSE,0.151982395457474,0.151982395457474
RAD54L,RAD54L,7105,5.779,5755,995.853,7.278,0,FALSE,0.862012051250217,0.862012051250217
MAZ,MAZ,5006,5.774,5750,995.853,2.226,0,FALSE,0.347525159998689,0.347525159998689
SMG7,SMG7,8279,5.772,5748,995.853,1.635,0,FALSE,0.213517756996305,0.213517756996305
ESRP1,ESRP1,2871,5.77,5746,995.853,5.306,0,FALSE,0.72476724564631,0.72476724564631
SQLE,SQLE,8493,5.77,5746,995.853,4.537,0,TRUE,0.656768779266017,0.656768779266017
BIRC5,BIRC5,935,5.769,5745,995.853,12.078,0,FALSE,1.0819950252723,1.0819950252723
TSTA3,TSTA3,9495,5.764,5740,995.853,2.96,0,FALSE,0.471291711058939,0.471291711058939
MAD2L1,MAD2L1,4875,5.763,5739,995.853,3.879,0,FALSE,0.588719779600057,0.588719779600057
CDC6,CDC6,1531,5.759,5735,995.853,5.873,0,TRUE,0.768860000842957,0.768860000842957
LRRC59,LRRC59,4799,5.751,5727,995.853,2.151,0,FALSE,0.332640410387463,0.332640410387463
NACC1,NACC1,5516,5.749,5725,995.853,2.349,0,FALSE,0.370883016777606,0.370883016777606
RAB8A,RAB8A,7079,5.749,5725,995.853,1.677,0,FALSE,0.224533062606086,0.224533062606086
FLAD1,FLAD1,3235,5.746,5722,995.853,1.946,0,FALSE,0.289142835932333,0.289142835932333
C1orf112,C1orf112,1099,5.745,5721,995.853,2.332,0,FALSE,0.367728546086976,0.367728546086976
AURKB,AURKB,797,5.734,5710,995.853,8.955,0,FALSE,0.95206559018505,0.95206559018505
UBE2S,UBE2S,9631,5.73,5706,995.853,3.951,0,FALSE,0.596707029681446,0.596707029681446
E2F8,E2F8,2599,5.725,5701,995.853,10.439,0,FALSE,1.01865889758552,1.01865889758552
VANGL1,VANGL1,9793,5.724,5700,995.853,2.11,0,FALSE,0.324282455297693,0.324282455297693
FEN1,FEN1,3172,5.722,5698,995.853,2.424,0,FALSE,0.384532615494249,0.384532615494249
RMI1,RMI1,7384,5.72,5696,995.853,2.214,0,FALSE,0.345177616542704,0.345177616542704
FAM111B,FAM111B,2971,5.719,5695,995.853,8.002,0,FALSE,0.903198547042978,0.903198547042978
P4HA3,P4HA3,6045,5.718,5694,995.853,7.79,0,FALSE,0.891537457672564,0.891537457672564
CENPI,CENPI,1604,5.716,5692,995.853,5.953,0,FALSE,0.774735882551753,0.774735882551753
TLCD1,TLCD1,9017,5.716,5692,995.853,4.258,0,FALSE,0.629205657102304,0.629205657102304
SRP54,SRP54,8512,5.715,5691,995.853,1.619,0,FALSE,0.209246848753374,0.209246848753374
HDGF,HDGF,3818,5.714,5690,995.853,2.045,0,FALSE,0.310693312343361,0.310693312343361
UNC5B,UNC5B,9708,5.711,5687,995.853,3.419,0,FALSE,0.533899100796595,0.533899100796595
HNRNPAB,HNRNPAB,3923,5.71,5686,995.853,1.904,0,FALSE,0.279666944048456,0.279666944048456
ATP6V0B,ATP6V0B,754,5.704,5680,995.853,2.179,0,FALSE,0.338257230246256,0.338257230246256
TIMELESS,TIMELESS,8990,5.7,5676,995.853,2.549,0,FALSE,0.406369835469268,0.406369835469268
SRP9,SRP9,8515,5.697,5673,995.853,1.917,0,FALSE,0.282622112878063,0.282622112878063
ZWILCH,ZWILCH,10460,5.694,5670,995.853,2.181,0,TRUE,0.3386556655787,0.3386556655787
NUP210,NUP210,5921,5.687,5663,995.853,3.955,0,TRUE,0.597146487833695,0.597146487833695
TRIP13,TRIP13,9419,5.687,5663,995.853,4.375,0,FALSE,0.640978057358332,0.640978057358332
MICAL2,MICAL2,5170,5.684,5660,995.853,2.989,0,TRUE,0.475525915039281,0.475525915039281
MRPL3,MRPL3,5318,5.682,5658,995.853,1.583,0,FALSE,0.199480914862356,0.199480914862356
CDC45,CDC45,1529,5.678,5654,995.853,9.903,0,FALSE,0.995766779049974,0.995766779049974
MRPL47,MRPL47,5324,5.674,5650,995.853,1.687,0,FALSE,0.227115082589125,0.227115082589125
PSMA5,PSMA5,6876,5.674,5650,995.853,1.693,0,FALSE,0.228656958108935,0.228656958108935
HAGHL,HAGHL,3775,5.664,5641,995.853,8.477,0,FALSE,0.928242183157309,0.928242183157309
SLC25A44,SLC25A44,8084,5.662,5639,995.853,1.58,0,FALSE,0.198657086954423,0.198657086954423
RAE1,RAE1,7108,5.657,5634,995.853,1.71,0,FALSE,0.232996110392154,0.232996110392154
FAM96A,FAM96A,3067,5.656,5633,995.853,1.726,0,FALSE,0.237040791379191,0.237040791379191
FLVCR1,FLVCR1,3248,5.656,5633,995.853,3.032,0,FALSE,0.481729196960016,0.481729196960016
HMGB3,HMGB3,3906,5.653,5630,995.853,4.1,0,FALSE,0.612783856719735,0.612783856719735
MCM10,MCM10,5034,5.652,5629,995.853,7.326,0,TRUE,0.864866914328526,0.864866914328526
HNRNPU,HNRNPU,3932,5.646,5623,995.853,1.425,0,FALSE,0.153814864344529,0.153814864344529
CIT,CIT,1735,5.64,5617,995.853,3.981,0,FALSE,0.599992177584098,0.599992177584098
CDK5,CDK5,1569,5.637,5614,995.853,2.214,0,FALSE,0.345177616542704,0.345177616542704
MYBL2,MYBL2,5450,5.636,5613,995.853,11.794,0,FALSE,1.07166112344179,1.07166112344179
UBQLN4,UBQLN4,9654,5.636,5613,995.853,1.801,0,FALSE,0.255513712819533,0.255513712819533
EME1,EME1,2753,5.634,5611,995.853,4.409,0,FALSE,0.644340098826323,0.644340098826323
TBL2,TBL2,8830,5.63,5607,995.853,1.74,0,FALSE,0.2405492482826,0.2405492482826
ESPL1,ESPL1,2869,5.629,5606,995.853,7.154,0,FALSE,0.854548935812951,0.854548935812951
PARN,PARN,6112,5.628,5605,995.853,1.585,0,FALSE,0.20002926655377,0.20002926655377
CDCA2,CDCA2,1534,5.626,5603,995.853,7.109,0,TRUE,0.851808514228237,0.851808514228237
MFAP2,MFAP2,5132,5.623,5600,995.853,4.553,0,FALSE,0.65829765030819,0.65829765030819
PSMC4,PSMC4,6890,5.616,5593,995.853,1.748,0,FALSE,0.242541428298384,0.242541428298384
ADAR,ADAR,192,5.615,5592,995.853,1.823,0,FALSE,0.260786668654976,0.260786668654976
POGK,POGK,6602,5.615,5592,995.853,1.825,0,FALSE,0.261262868792493,0.261262868792493
TMCO1,TMCO1,9054,5.615,5592,995.853,1.805,0,FALSE,0.256477206241677,0.256477206241677
GRM4,GRM4,3703,5.611,5587.5,995.853,11.782,0,FALSE,1.07121901839997,1.07121901839997
POLQ,POLQ,6622,5.608,5585,995.853,5.975,0,FALSE,0.776337909620175,0.776337909620175
PSENEN,PSENEN,6872,5.604,5581,995.853,1.962,0,FALSE,0.29269900304393,0.29269900304393
HM13,HM13,3898,5.592,5569,995.853,1.829,0,FALSE,0.262213705476417,0.262213705476417
PIGU,PIGU,6406,5.585,5562,995.853,1.736,0,FALSE,0.239549720840473,0.239549720840473
PYGO2,PYGO2,7013,5.582,5559,995.853,1.691,0,FALSE,0.228143607597742,0.228143607597742
RNFT2,RNFT2,7459,5.573,5550,995.853,3.193,0,FALSE,0.504198918539445,0.504198918539445
TPD52,TPD52,9323,5.573,5550,995.853,3.756,0,FALSE,0.574725583594073,0.574725583594073
DIAPH3,DIAPH3,2375,5.568,5545,995.853,5.215,0,FALSE,0.71725431276255,0.71725431276255
LSM4,LSM4,4825,5.566,5543,995.853,2.091,0,FALSE,0.320354032817672,0.320354032817672
ECE2,ECE2,2614,5.56,5537,995.853,2.989,0,FALSE,0.475525915039281,0.475525915039281
DONSON,DONSON,2489,5.558,5535,995.853,2.246,0,FALSE,0.351409751925439,0.351409751925439
MRPL42,MRPL42,5320,5.555,5532,995.853,1.672,0,FALSE,0.223236273102998,0.223236273102998
CSTF2,CSTF2,2065,5.551,5528,995.853,1.743,0,FALSE,0.241297387109993,0.241297387109993
HNRNPF,HNRNPF,3925,5.546,5523,995.853,1.627,0,FALSE,0.211387552936859,0.211387552936859
KIF22,KIF22,4478,5.546,5523,995.853,2.193,0,FALSE,0.341038631677523,0.341038631677523
RFC2,RFC2,7287,5.545,5522,995.853,1.805,0,FALSE,0.256477206241677,0.256477206241677
ATIC,ATIC,709,5.544,5521,995.853,1.785,0,FALSE,0.251638220448212,0.251638220448212
SPATS2,SPATS2,8431,5.539,5516,995.853,1.721,0,FALSE,0.23578087032756,0.23578087032756
DOPEY2,DOPEY2,2491,5.538,5515,995.853,2.412,0,FALSE,0.382377303468114,0.382377303468114
AP1M2,AP1M2,464,5.535,5512,995.853,4.781,0,FALSE,0.679518743695789,0.679518743695789
RCC2,RCC2,7237,5.535,5512,995.853,1.893,0,FALSE,0.277150613963797,0.277150613963797
SBK1,SBK1,7673,5.53,5507,995.853,4.88,0,FALSE,0.688419822002711,0.688419822002711
SULF1,SULF1,8665,5.53,5507,995.853,3.758,0,FALSE,0.574956775764507,0.574956775764507
STX6,STX6,8648,5.526,5503,995.853,1.639,0,FALSE,0.214578953570499,0.214578953570499
TBCE,TBCE,8825,5.524,5501,995.853,1.785,0,FALSE,0.251638220448212,0.251638220448212
CBX4,CBX4,1306,5.516,5493,995.853,2.646,0,FALSE,0.422589839851482,0.422589839851482
PCDH17,PCDH17,6148,5.506,5483,995.853,2.917,0,FALSE,0.464936429121733,0.464936429121733
GPRC5A,GPRC5A,3663,5.501,5478,995.853,5.446,0,FALSE,0.736077637003946,0.736077637003946
RPN2,RPN2,7512,5.497,5474,995.853,1.713,0,FALSE,0.233757362965511,0.233757362965511
SSX2IP,SSX2IP,8546,5.491,5468,995.853,2.562,0,FALSE,0.408579125408667,0.408579125408667
EPRS,EPRS,2824,5.489,5466,995.853,1.79,0,FALSE,0.252853030979893,0.252853030979893
DSN1,DSN1,2533,5.488,5465,995.853,1.886,0,TRUE,0.27554168840131,0.27554168840131
GGPS1,GGPS1,3478,5.487,5464,995.853,1.655,0,FALSE,0.218797998111738,0.218797998111738
F11R,F11R,2937,5.484,5461,995.853,1.792,0,FALSE,0.253338005326106,0.253338005326106
PITX1,PITX1,6449,5.482,5459,995.853,16.625,0,FALSE,1.22076165397514,1.22076165397514
PLK4,PLK4,6538,5.477,5454,995.853,3.117,0,FALSE,0.49373680227684,0.49373680227684
OLR1,OLR1,5980,5.472,5449,995.853,6.135,0,TRUE,0.787814567063023,0.787814567063023
ATAD2,ATAD2,684,5.465,5442,995.853,3.453,0,FALSE,0.538196578349454,0.538196578349454
TARS2,TARS2,8786,5.463,5440,995.853,1.839,0,FALSE,0.264581729238077,0.264581729238077
WDHD1,WDHD1,9894,5.463,5440,995.853,2.31,0,FALSE,0.363611979892144,0.363611979892144
SFXN1,SFXN1,7886,5.461,5438,995.853,2.053,0,TRUE,0.312388949370592,0.312388949370592
C1orf131,C1orf131,1104,5.458,5435,995.853,1.617,0,FALSE,0.208710019906401,0.208710019906401
KDM5B,KDM5B,4417,5.455,5432,995.853,2.046,0,TRUE,0.310905629376141,0.310905629376141
MAPKAPK2,MAPKAPK2,4968,5.453,5430,995.853,1.953,0,FALSE,0.290702243287854,0.290702243287854
MARS,MARS,4989,5.446,5423,995.853,1.552,0,FALSE,0.19089171692217,0.19089171692217
ALG3,ALG3,335,5.445,5422,995.853,1.893,0,FALSE,0.277150613963797,0.277150613963797
MORF4L2,MORF4L2,5257,5.445,5422,995.853,1.654,0,FALSE,0.218535505216528,0.218535505216528
CKAP2,CKAP2,1738,5.444,5421,995.853,2.485,0,TRUE,0.395326393069351,0.395326393069351
TOR3A,TOR3A,9305,5.444,5421,995.853,1.864,0,FALSE,0.270445908017963,0.270445908017963
HSPA4,HSPA4,4001,5.443,5420,995.853,1.607,0,FALSE,0.206015876763345,0.206015876763345
DCTPP1,DCTPP1,2243,5.442,5419,995.853,2.121,0,FALSE,0.326540668516562,0.326540668516562
PDIA4,PDIA4,6233,5.437,5414,995.853,1.966,0,FALSE,0.293583513496117,0.293583513496117
