Gene ID,Gene Name,Score(d),Numerator(r),Denominator(s+s0),FoldChange,q-value(%),PEP,Log10FoldChange,AbsLog10FoldChange
HEPACAM,HEPACAM,3843,-5.965,-5940,995.853,0.031,0,FALSE,-1.50863830616573,1.50863830616573
PTPN21,PTPN21,6958,-5.964,-5939,995.853,0.365,0,FALSE,-0.437707135543525,0.437707135543525
LEPR,LEPR,4653,-5.958,-5933,995.853,0.142,0,FALSE,-0.847711655616944,0.847711655616944
TMTC1,TMTC1,9220,-5.957,-5932,995.853,0.145,0,FALSE,-0.838631997765025,0.838631997765025
DNASE1L3,DNASE1L3,2456,-5.954,-5929,995.853,0.081,0,FALSE,-1.09151498112135,1.09151498112135
CFL2,CFL2,1641,-5.953,-5928,995.853,0.293,0,FALSE,-0.533132379645891,0.533132379645891
RBMS2,RBMS2,7221,-5.951,-5926,995.853,0.445,0,FALSE,-0.351639989019068,0.351639989019068
SMYD4,SMYD4,8294,-5.95,-5925,995.853,0.545,0,FALSE,-0.263603497723358,0.263603497723358
ADCY4,ADCY4,201,-5.946,-5921,995.853,0.234,0,TRUE,-0.630784142589857,0.630784142589857
ATP1A2,ATP1A2,728,-5.944,-5919,995.853,0.032,0,TRUE,-1.49485002168009,1.49485002168009
LYVE1,LYVE1,4863,-5.944,-5919,995.853,0.037,0,TRUE,-1.43179827593301,1.43179827593301
HPSE2,HPSE2,3962,-5.943,-5918,995.853,0.069,0,FALSE,-1.16115090926274,1.16115090926274
ARID5B,ARID5B,591,-5.941,-5916,995.853,0.351,0,TRUE,-0.454692883534176,0.454692883534176
AMOTL2,AMOTL2,369,-5.94,-5915,995.853,0.359,0,FALSE,-0.444905551421681,0.444905551421681
EGFLAM,EGFLAM,2663,-5.937,-5912,995.853,0.273,0,FALSE,-0.563837352959244,0.563837352959244
FAM13C,FAM13C,2991,-5.937,-5912,995.853,0.17,0,FALSE,-0.769551078621726,0.769551078621726
SFRP1,SFRP1,7881,-5.937,-5912,995.853,0.035,0,TRUE,-1.45593195564972,1.45593195564972
PELI2,PELI2,6276,-5.934,-5909,995.853,0.267,0,FALSE,-0.573488738635425,0.573488738635425
DENND2A,DENND2A,2307,-5.931,-5906,995.853,0.175,0,FALSE,-0.756961951313706,0.756961951313706
SH3D19,SH3D19,7921,-5.93,-5905,995.853,0.313,0,FALSE,-0.504455662453552,0.504455662453552
MEIS2,MEIS2,5105,-5.928,-5903,995.853,0.261,0,FALSE,-0.583359492661719,0.583359492661719
ZBTB16,ZBTB16,10070,-5.928,-5903,995.853,0.059,0,TRUE,-1.22914798835786,1.22914798835786
THSD1,THSD1,8967,-5.927,-5902,995.853,0.336,0,FALSE,-0.473660722610156,0.473660722610156
ENPP2,ENPP2,2782,-5.924,-5899,995.853,0.133,0,FALSE,-0.876148359032914,0.876148359032914
GCOM1,GCOM1,3445,-5.924,-5899,995.853,0.119,0,TRUE,-0.924453038607469,0.924453038607469
FREM1,FREM1,3303,-5.922,-5897,995.853,0.073,0,FALSE,-1.13667713987954,1.13667713987954
SORBS1,SORBS1,8389,-5.921,-5896,995.853,0.116,0,TRUE,-0.935542010773082,0.935542010773082
TMOD1,TMOD1,9210,-5.919,-5894,995.853,0.215,0,TRUE,-0.667561540084395,0.667561540084395
CDADC1,CDADC1,1501,-5.917,-5892,995.853,0.53,0,FALSE,-0.275724130399211,0.275724130399211
SOBP,SOBP,8381,-5.916,-5891,995.853,0.253,0,FALSE,-0.596879478824182,0.596879478824182
ALDH1A1,ALDH1A1,315,-5.914,-5889,995.853,0.155,0,FALSE,-0.809668301829709,0.809668301829709
ACSBG1,ACSBG1,123,-5.91,-5885.5,995.853,0.327,0,FALSE,-0.485452247339714,0.485452247339714
THRB,THRB,8966,-5.909,-5884,995.853,0.314,0,FALSE,-0.503070351926785,0.503070351926785
ITGA7,ITGA7,4276,-5.9,-5876,995.853,0.085,0,FALSE,-1.07058107428571,1.07058107428571
PDK4,PDK4,6240,-5.899,-5875,995.853,0.078,0,TRUE,-1.10790539730952,1.10790539730952
ZBTB4,ZBTB4,10088,-5.899,-5875,995.853,0.522,0,TRUE,-0.282329496997738,0.282329496997738
CRYAB,CRYAB,2025,-5.898,-5874,995.853,0.065,0,FALSE,-1.18708664335714,1.18708664335714
BOC,BOC,964,-5.897,-5873,995.853,0.213,0,FALSE,-0.671620396561262,0.671620396561262
GNG11,GNG11,3578,-5.897,-5873,995.853,0.232,0,TRUE,-0.6345120151091,0.6345120151091
DNAJC18,DNAJC18,2441,-5.895,-5871,995.853,0.445,0,FALSE,-0.351639989019068,0.351639989019068
PRNP,PRNP,6822,-5.895,-5871,995.853,0.356,0,FALSE,-0.448550002027125,0.448550002027125
RASSF9,RASSF9,7180,-5.892,-5868,995.853,0.195,0,FALSE,-0.709965388637482,0.709965388637482
NDN,NDN,5593,-5.889,-5865,995.853,0.256,0,FALSE,-0.59176003468815,0.59176003468815
EBF1,EBF1,2606,-5.883,-5859,995.853,0.148,0,FALSE,-0.829738284605043,0.829738284605043
FABP4,FABP4,2948,-5.883,-5859,995.853,0.016,0,TRUE,-1.79588001734408,1.79588001734408
NAALAD2,NAALAD2,5511,-5.881,-5857,995.853,0.129,0,FALSE,-0.889410289700751,0.889410289700751
SCN2B,SCN2B,7707,-5.879,-5855,995.853,0.098,0,FALSE,-1.00877392430751,1.00877392430751
CXorf36,CXorf36,2134,-5.877,-5853,995.853,0.248,0,FALSE,-0.605548319173784,0.605548319173784
KLHL21,KLHL21,4529,-5.877,-5853,995.853,0.378,0,FALSE,-0.422508200162775,0.422508200162775
NFIB,NFIB,5682,-5.877,-5853,995.853,0.196,0,FALSE,-0.707743928643524,0.707743928643524
TXNIP,TXNIP,9579,-5.877,-5853,995.853,0.252,0,TRUE,-0.598599459218456,0.598599459218456
STAT5A,STAT5A,8587,-5.876,-5852,995.853,0.31,0,FALSE,-0.508638306165727,0.508638306165727
DAB2IP,DAB2IP,2185,-5.874,-5850,995.853,0.385,0,FALSE,-0.414539270491499,0.414539270491499
KANK1,KANK1,4341,-5.873,-5849,995.853,0.254,0,FALSE,-0.595166283380062,0.595166283380062
MRGPRF,MRGPRF,5292,-5.871,-5847,995.853,0.204,0,TRUE,-0.690369832574101,0.690369832574101
TMEM100,TMEM100,9067,-5.871,-5847,995.853,0.075,0,FALSE,-1.1249387366083,1.1249387366083
SCN4A,SCN4A,7708,-5.869,-5845,995.853,0.095,0,TRUE,-1.02227639471115,1.02227639471115
GPC3,GPC3,3625,-5.866,-5842,995.853,0.086,0,TRUE,-1.06550154875643,1.06550154875643
MYLK,MYLK,5473,-5.863,-5839,995.853,0.21,0,FALSE,-0.677780705266081,0.677780705266081
MEOX1,MEOX1,5110,-5.861,-5837,995.853,0.077,0,FALSE,-1.11350927482752,1.11350927482752
NOD1,NOD1,5762,-5.858,-5834,995.853,0.536,0,FALSE,-0.27083521030723,0.27083521030723
NUDT7,NUDT7,5906,-5.855,-5831,995.853,0.338,0,FALSE,-0.471083299722345,0.471083299722345
TBC1D4,TBC1D4,8812,-5.85,-5826,995.853,0.392,0,TRUE,-0.406713932979543,0.406713932979543
CX3CL1,CX3CL1,2123,-5.849,-5825,995.853,0.118,0,FALSE,-0.928117992693875,0.928117992693875
ANGPTL1,ANGPTL1,388,-5.843,-5819,995.853,0.096,0,TRUE,-1.01772876696043,1.01772876696043
RGS6,RGS6,7323,-5.843,-5819,995.853,0.099,0,TRUE,-1.00436480540245,1.00436480540245
VWCE,VWCE,9876,-5.841,-5817,995.853,0.188,0,TRUE,-0.72584215073632,0.72584215073632
RDH5,RDH5,7254,-5.834,-5810,995.853,0.05,0,FALSE,-1.30102999566398,1.30102999566398
ACADL,ACADL,83,-5.827,-5803,995.853,0.044,0,FALSE,-1.35654732351381,1.35654732351381
PER1,PER1,6281,-5.826,-5802,995.853,0.206,0,FALSE,-0.686132779630847,0.686132779630847
CCDC50,CCDC50,1360,-5.825,-5801,995.853,0.424,0,FALSE,-0.372634143407267,0.372634143407267
MOCS1,MOCS1,5246,-5.825,-5801,995.853,0.256,0,FALSE,-0.59176003468815,0.59176003468815
CLIP4,CLIP4,1783,-5.823,-5799,995.853,0.211,0,FALSE,-0.675717544702307,0.675717544702307
GPAM,GPAM,3615,-5.821,-5797,995.853,0.096,0,TRUE,-1.01772876696043,1.01772876696043
CNN1,CNN1,1829,-5.82,-5796,995.853,0.087,0,FALSE,-1.06048074738138,1.06048074738138
MSRA,MSRA,5376,-5.82,-5796,995.853,0.411,0,FALSE,-0.386158178123931,0.386158178123931
RCBTB2,RCBTB2,7235,-5.817,-5793,995.853,0.428,0,FALSE,-0.368556230986828,0.368556230986828
CAPN3,CAPN3,1250,-5.816,-5792,995.853,0.216,0,TRUE,-0.665546248849069,0.665546248849069
ADHFE1,ADHFE1,212,-5.813,-5789,995.853,0.197,0,FALSE,-0.705533773838407,0.705533773838407
ARAP3,ARAP3,524,-5.813,-5789,995.853,0.399,0,FALSE,-0.399027104313252,0.399027104313252
SHE,SHE,7943,-5.809,-5785,995.853,0.239,0,TRUE,-0.621602099051862,0.621602099051862
EBF3,EBF3,2608,-5.806,-5782,995.853,0.154,0,TRUE,-0.812479279163537,0.812479279163537
ACSM5,ACSM5,131,-5.805,-5781,995.853,0.09,0,TRUE,-1.04575749056068,1.04575749056068
ABLIM1,ABLIM1,69,-5.803,-5779,995.853,0.381,0,FALSE,-0.419075024324381,0.419075024324381
SSPN,SSPN,8538,-5.799,-5775,995.853,0.312,0,FALSE,-0.505845405981557,0.505845405981557
EDNRB,EDNRB,2632,-5.798,-5774,995.853,0.216,0,FALSE,-0.665546248849069,0.665546248849069
GABARAPL1,GABARAPL1,3366,-5.793,-5769,995.853,0.378,0,FALSE,-0.422508200162775,0.422508200162775
LARP6,LARP6,4615,-5.793,-5769,995.853,0.266,0,TRUE,-0.575118363368933,0.575118363368933
ISM1,ISM1,4259,-5.792,-5768,995.853,0.19,0,FALSE,-0.721246399047171,0.721246399047171
FAM149A,FAM149A,2992,-5.791,-5767,995.853,0.171,0,TRUE,-0.767003889607846,0.767003889607846
AMT,AMT,374,-5.79,-5766,995.853,0.235,0,FALSE,-0.628932137728264,0.628932137728264
ID4,ID4,4044,-5.787,-5763,995.853,0.116,0,FALSE,-0.935542010773082,0.935542010773082
ADAMTS1,ADAMTS1,176,-5.784,-5760,995.853,0.183,0,FALSE,-0.737548910269571,0.737548910269571
CCDC69,CCDC69,1369,-5.782,-5758,995.853,0.143,0,FALSE,-0.844663962534938,0.844663962534938
LPL,LPL,4748,-5.779,-5755,995.853,0.048,0,FALSE,-1.31875876262441,1.31875876262441
MSRB3,MSRB3,5378,-5.779,-5755,995.853,0.302,0,FALSE,-0.519993057042849,0.519993057042849
SLC16A12,SLC16A12,8021,-5.778,-5754,995.853,0.117,0,TRUE,-0.931814138253838,0.931814138253838
ACSS2,ACSS2,133,-5.772,-5748,995.853,0.358,0,FALSE,-0.446116973356126,0.446116973356126
MAOA,MAOA,4916,-5.772,-5748,995.853,0.083,0,FALSE,-1.08092190762393,1.08092190762393
ALDOC,ALDOC,329,-5.771,-5747,995.853,0.177,0,FALSE,-0.752026733638193,0.752026733638193
HDAC4,HDAC4,3810,-5.77,-5746,995.853,0.464,0,FALSE,-0.333482019445119,0.333482019445119
CD34,CD34,1464,-5.766,-5742,995.853,0.261,0,TRUE,-0.583359492661719,0.583359492661719
RELN,RELN,7269,-5.759,-5735,995.853,0.047,0,TRUE,-1.32790214206428,1.32790214206428
ECHDC1,ECHDC1,2615,-5.758,-5734,995.853,0.413,0,FALSE,-0.384049948343599,0.384049948343599
TESC,TESC,8893,-5.757,-5733,995.853,0.138,0,FALSE,-0.860120913598763,0.860120913598763
KCNIP2,KCNIP2,4365,-5.755,-5731,995.853,0.03,0,FALSE,-1.52287874528034,1.52287874528034
AOC3,AOC3,458,-5.75,-5726,995.853,0.1,0,TRUE,-1,1
EMCN,EMCN,2751,-5.748,-5724,995.853,0.252,0,FALSE,-0.598599459218456,0.598599459218456
PDE1C,PDE1C,6203,-5.737,-5713,995.853,0.081,0,TRUE,-1.09151498112135,1.09151498112135
RASIP1,RASIP1,7167,-5.736,-5712,995.853,0.293,0,TRUE,-0.533132379645891,0.533132379645891
TBRG1,TBRG1,8834,-5.736,-5712,995.853,0.577,0,TRUE,-0.238824186844269,0.238824186844269
LETMD1,LETMD1,4655,-5.733,-5709,995.853,0.507,0,FALSE,-0.294992040666664,0.294992040666664
MYH7B,MYH7B,5463,-5.731,-5707,995.853,0.242,0,FALSE,-0.616184634019569,0.616184634019569
AASS,AASS,15,-5.73,-5706,995.853,0.274,0,FALSE,-0.562249437179612,0.562249437179612
AHNAK,AHNAK,272,-5.73,-5706,995.853,0.364,0,TRUE,-0.438898616350944,0.438898616350944
DIXDC1,DIXDC1,2387,-5.73,-5706,995.853,0.38,0,FALSE,-0.42021640338319,0.42021640338319
CES1,CES1,1634,-5.723,-5699,995.853,0.062,0,TRUE,-1.20760831050175,1.20760831050175
SPARCL1,SPARCL1,8421,-5.723,-5699,995.853,0.29,0,FALSE,-0.537602002101044,0.537602002101044
SYNE1,SYNE1,8708,-5.721,-5697,995.853,0.345,0,FALSE,-0.462180904926726,0.462180904926726
CRY2,CRY2,2024,-5.72,-5696,995.853,0.425,0,FALSE,-0.371611069949688,0.371611069949688
PPARG,PPARG,6667,-5.712,-5688,995.853,0.125,0,TRUE,-0.903089986991944,0.903089986991944
AKAP7,AKAP7,294,-5.702,-5678,995.853,0.456,0,FALSE,-0.341035157335565,0.341035157335565
EGFR,EGFR,2664,-5.702,-5678,995.853,0.143,0,FALSE,-0.844663962534938,0.844663962534938
OSR1,OSR1,6013,-5.701,-5677,995.853,0.082,0,FALSE,-1.08618614761628,1.08618614761628
GHR,GHR,3484,-5.7,-5676,995.853,0.149,0,TRUE,-0.826813731587726,0.826813731587726
LYSMD4,LYSMD4,4861,-5.699,-5675,995.853,0.438,0,FALSE,-0.3585258894959,0.3585258894959
PLIN4,PLIN4,6534,-5.699,-5675,995.853,0.019,0,FALSE,-1.72124639904717,1.72124639904717
MAML2,MAML2,4901,-5.698,-5674,995.853,0.246,0,FALSE,-0.609064892896621,0.609064892896621
PTCH1,PTCH1,6923,-5.697,-5673,995.853,0.283,0,FALSE,-0.54821356447571,0.54821356447571
THRA,THRA,8965,-5.697,-5673,995.853,0.415,0,TRUE,-0.381951903287907,0.381951903287907
NDEL1,NDEL1,5590,-5.696,-5672,995.853,0.636,0,FALSE,-0.196542884351586,0.196542884351586
CDNF,CDNF,1583,-5.695,-5671,995.853,0.336,0,FALSE,-0.473660722610156,0.473660722610156
FBXW7,FBXW7,3155,-5.694,-5670,995.853,0.494,0,FALSE,-0.306273051076353,0.306273051076353
SAMD4A,SAMD4A,7643,-5.693,-5669,995.853,0.296,0,FALSE,-0.528708288941061,0.528708288941061
CHST3,CHST3,1714,-5.691,-5667,995.853,0.312,0,FALSE,-0.505845405981557,0.505845405981557
ANKDD1A,ANKDD1A,394,-5.69,-5666,995.853,0.305,0,FALSE,-0.515700160653214,0.515700160653214
NPHP3,NPHP3,5805,-5.69,-5666,995.853,0.393,0,FALSE,-0.405607449624573,0.405607449624573
RNF150,RNF150,7421,-5.69,-5666,995.853,0.145,0,FALSE,-0.838631997765025,0.838631997765025
ARHGEF10,ARHGEF10,566,-5.688,-5664,995.853,0.454,0,FALSE,-0.342944147142896,0.342944147142896
BMP2,BMP2,949,-5.687,-5663,995.853,0.154,0,FALSE,-0.812479279163537,0.812479279163537
ERG,ERG,2850,-5.685,-5661,995.853,0.318,0,FALSE,-0.497572880015567,0.497572880015567
ANGPT1,ANGPT1,385,-5.682,-5658,995.853,0.148,0,FALSE,-0.829738284605043,0.829738284605043
CLIC5,CLIC5,1777,-5.682,-5658,995.853,0.228,0,TRUE,-0.642065152999546,0.642065152999546
CUTC,CUTC,2114,-5.673,-5649,995.853,0.505,0,FALSE,-0.296708621881339,0.296708621881339
WDR86,WDR86,9941,-5.673,-5649,995.853,0.15,0,FALSE,-0.823908740944319,0.823908740944319
GIMAP8,GIMAP8,3490,-5.672,-5648,995.853,0.274,0,FALSE,-0.562249437179612,0.562249437179612
GNAI1,GNAI1,3563,-5.671,-5647,995.853,0.203,0,FALSE,-0.692503962086787,0.692503962086787
PLEKHH2,PLEKHH2,6526,-5.668,-5644,995.853,0.213,0,FALSE,-0.671620396561262,0.671620396561262
BCL2L2,BCL2L2,889,-5.667,-5643,995.853,0.487,0,FALSE,-0.312471038785366,0.312471038785366
PTGER4,PTGER4,6931,-5.663,-5640,995.853,0.31,0,TRUE,-0.508638306165727,0.508638306165727
PI16,PI16,6378,-5.659,-5636,995.853,0.027,0,FALSE,-1.56863623584101,1.56863623584101
TLN2,TLN2,9026,-5.658,-5635,995.853,0.31,0,FALSE,-0.508638306165727,0.508638306165727
CYP2U1,CYP2U1,2169,-5.657,-5634,995.853,0.394,0,FALSE,-0.404503778174426,0.404503778174426
CA3,CA3,1186,-5.656,-5633,995.853,0.047,0,FALSE,-1.32790214206428,1.32790214206428
CXCL12,CXCL12,2126,-5.655,-5632,995.853,0.261,0,TRUE,-0.583359492661719,0.583359492661719
CCDC82,CCDC82,1375,-5.654,-5631,995.853,0.366,0,FALSE,-0.436518914605589,0.436518914605589
APBA1,APBA1,483,-5.653,-5630,995.853,0.311,0,FALSE,-0.507239610973163,0.507239610973163
GPD1,GPD1,3629,-5.653,-5630,995.853,0.017,0,TRUE,-1.76955107862173,1.76955107862173
DNAJB4,DNAJB4,2430,-5.65,-5627,995.853,0.387,0,FALSE,-0.412289034981089,0.412289034981089
MMRN2,MMRN2,5236,-5.649,-5626,995.853,0.279,0,FALSE,-0.554395796726402,0.554395796726402
SVEP1,SVEP1,8693,-5.647,-5624,995.853,0.128,0,FALSE,-0.892790030352132,0.892790030352132
PKD2,PKD2,6455,-5.646,-5623,995.853,0.387,0,FALSE,-0.412289034981089,0.412289034981089
TCF7L2,TCF7L2,8857,-5.646,-5623,995.853,0.434,0,FALSE,-0.362510270487489,0.362510270487489
FBLN5,FBLN5,3102,-5.642,-5619,995.853,0.258,0,FALSE,-0.58838029403677,0.58838029403677
LMO2,LMO2,4717,-5.64,-5617,995.853,0.383,0,FALSE,-0.416801226031377,0.416801226031377
PDGFD,PDGFD,6224,-5.64,-5617,995.853,0.283,0,FALSE,-0.54821356447571,0.54821356447571
FOXO4,FOXO4,3294,-5.639,-5616,995.853,0.45,0,FALSE,-0.346787486224656,0.346787486224656
BMPER,BMPER,953,-5.636,-5613,995.853,0.111,0,FALSE,-0.954677021213343,0.954677021213343
PRIMA1,PRIMA1,6786,-5.633,-5610,995.853,0.185,0,FALSE,-0.732828271596986,0.732828271596986
JPH2,JPH2,4334,-5.628,-5605,995.853,0.13,0,FALSE,-0.886056647693163,0.886056647693163
LPAR6,LPAR6,4739,-5.628,-5605,995.853,0.437,0,FALSE,-0.359518563029578,0.359518563029578
SOX17,SOX17,8402,-5.624,-5601,995.853,0.218,0,TRUE,-0.661543506395395,0.661543506395395
HAS3,HAS3,3785,-5.621,-5598,995.853,0.097,0,FALSE,-1.01322826573376,1.01322826573376
KLHL31,KLHL31,4538,-5.62,-5597,995.853,0.114,0,FALSE,-0.943095148663527,0.943095148663527
RBP7,RBP7,7226,-5.619,-5596,995.853,0.168,0,TRUE,-0.774690718274137,0.774690718274137
CABP1,CABP1,1197,-5.619,-5595.5,995.853,0.196,0,TRUE,-0.707743928643524,0.707743928643524
KLF9,KLF9,4515,-5.617,-5594,995.853,0.321,0,FALSE,-0.493494967595128,0.493494967595128
NPR2,NPR2,5812,-5.617,-5594,995.853,0.299,0,FALSE,-0.52432881167557,0.52432881167557
STXBP1,STXBP1,8651,-5.613,-5590,995.853,0.424,0,FALSE,-0.372634143407267,0.372634143407267
KLHL13,KLHL13,4525,-5.612,-5589,995.853,0.115,0,FALSE,-0.939302159646388,0.939302159646388
NAALADL1,NAALADL1,5512,-5.61,-5587,995.853,0.368,0,FALSE,-0.434152181326482,0.434152181326482
ARHGAP10,ARHGAP10,539,-5.609,-5586,995.853,0.34,0,TRUE,-0.468521082957745,0.468521082957745
PLD5,PLD5,6507,-5.609,-5586,995.853,0.16,0,FALSE,-0.795880017344075,0.795880017344075
CASP12,CASP12,1278,-5.608,-5584.5,995.853,0.282,0,FALSE,-0.549750891680639,0.549750891680639
CFD,CFD,1639,-5.607,-5584,995.853,0.07,0,TRUE,-1.15490195998574,1.15490195998574
SLC22A3,SLC22A3,8050,-5.607,-5584,995.853,0.115,0,TRUE,-0.939302159646388,0.939302159646388
NRG2,NRG2,5843,-5.605,-5582,995.853,0.076,0,FALSE,-1.11918640771921,1.11918640771921
WSCD1,WSCD1,9983,-5.603,-5580,995.853,0.237,0,FALSE,-0.625251653989896,0.625251653989896
NES,NES,5659,-5.602,-5579,995.853,0.321,0,TRUE,-0.493494967595128,0.493494967595128
KCTD12,KCTD12,4390,-5.601,-5578,995.853,0.34,0,TRUE,-0.468521082957745,0.468521082957745
GPLD1,GPLD1,3635,-5.597,-5574,995.853,0.129,0,FALSE,-0.889410289700751,0.889410289700751
CD200,CD200,1449,-5.596,-5573,995.853,0.399,0,FALSE,-0.399027104313252,0.399027104313252
FRMD1,FRMD1,3307,-5.591,-5568,995.853,0.077,0,FALSE,-1.11350927482752,1.11350927482752
TTLL11,TTLL11,9534,-5.587,-5564,995.853,0.578,0,FALSE,-0.238072161579471,0.238072161579471
F8,F8,2945,-5.586,-5563,995.853,0.338,0,TRUE,-0.471083299722345,0.471083299722345
SAV1,SAV1,7669,-5.586,-5563,995.853,0.496,0,FALSE,-0.304518323509803,0.304518323509803
SLC27A1,SLC27A1,8095,-5.586,-5563,995.853,0.484,0,FALSE,-0.315154638355588,0.315154638355588
CUBN,CUBN,2102,-5.584,-5561,995.853,0.282,0,FALSE,-0.549750891680639,0.549750891680639
CD36,CD36,1465,-5.579,-5556,995.853,0.058,0,TRUE,-1.23657200643706,1.23657200643706
S1PR1,S1PR1,7633,-5.576,-5553,995.853,0.256,0,TRUE,-0.59176003468815,0.59176003468815
EPB41L2,EPB41L2,2796,-5.575,-5552,995.853,0.332,0,FALSE,-0.478861916295964,0.478861916295964
SPRY1,SPRY1,8473,-5.575,-5552,995.853,0.296,0,FALSE,-0.528708288941061,0.528708288941061
SLC25A34,SLC25A34,8074,-5.573,-5550,995.853,0.282,0,FALSE,-0.549750891680639,0.549750891680639
PNRC1,PNRC1,6591,-5.572,-5549,995.853,0.477,0,FALSE,-0.321481620959886,0.321481620959886
LIPE,LIPE,4692,-5.568,-5545,995.853,0.055,0,TRUE,-1.25963731050576,1.25963731050576
PCOLCE2,PCOLCE2,6173,-5.564,-5541,995.853,0.028,0,FALSE,-1.55284196865778,1.55284196865778
MLXIPL,MLXIPL,5212,-5.562,-5539,995.853,0.066,0,FALSE,-1.18045606445813,1.18045606445813
ADH4,ADH4,210,-5.56,-5537,995.853,0.105,0,FALSE,-0.978810700930062,0.978810700930062
STXBP6,STXBP6,8656,-5.56,-5537,995.853,0.159,0,FALSE,-0.798602875679548,0.798602875679548
UTRN,UTRN,9783,-5.56,-5537,995.853,0.385,0,FALSE,-0.414539270491499,0.414539270491499
PID1,PID1,6389,-5.558,-5535,995.853,0.183,0,FALSE,-0.737548910269571,0.737548910269571
MET,MET,5127,-5.555,-5532,995.853,0.204,0,FALSE,-0.690369832574101,0.690369832574101
TF,TF,8922,-5.555,-5532,995.853,0.045,0,TRUE,-1.34678748622466,1.34678748622466
EGR1,EGR1,2668,-5.552,-5529,995.853,0.142,0,FALSE,-0.847711655616944,0.847711655616944
ANKRD35,ANKRD35,417,-5.55,-5527,995.853,0.206,0,FALSE,-0.686132779630847,0.686132779630847
KLF4,KLF4,4511,-5.55,-5527,995.853,0.185,0,TRUE,-0.732828271596986,0.732828271596986
CC2D2A,CC2D2A,1313,-5.549,-5526,995.853,0.477,0,FALSE,-0.321481620959886,0.321481620959886
AKAP6,AKAP6,293,-5.546,-5523,995.853,0.253,0,FALSE,-0.596879478824182,0.596879478824182
FOSB,FOSB,3277,-5.546,-5523,995.853,0.065,0,FALSE,-1.18708664335714,1.18708664335714
KLHL3,KLHL3,4540,-5.546,-5523,995.853,0.361,0,TRUE,-0.442492798094342,0.442492798094342
RERE,RERE,7276,-5.546,-5523,995.853,0.605,0,FALSE,-0.218244625347531,0.218244625347531
EFEMP1,EFEMP1,2645,-5.543,-5520,995.853,0.22,0,FALSE,-0.657577319177794,0.657577319177794
ARL4A,ARL4A,601,-5.541,-5518,995.853,0.313,0,FALSE,-0.504455662453552,0.504455662453552
YAP1,YAP1,10025,-5.541,-5518,995.853,0.496,0,FALSE,-0.304518323509803,0.304518323509803
MGAT3,MGAT3,5155,-5.538,-5515,995.853,0.203,0,FALSE,-0.692503962086787,0.692503962086787
WASF2,WASF2,9882,-5.537,-5514,995.853,0.582,0,FALSE,-0.235077015350112,0.235077015350112
ACAD11,ACAD11,80,-5.536,-5513,995.853,0.438,0,FALSE,-0.3585258894959,0.3585258894959
ARHGEF4,ARHGEF4,578,-5.532,-5509,995.853,0.219,0,FALSE,-0.659555885159882,0.659555885159882
PLA2G4A,PLA2G4A,6473,-5.531,-5508,995.853,0.191,0,TRUE,-0.718966632752272,0.718966632752272
RND3,RND3,7396,-5.529,-5506,995.853,0.284,0,TRUE,-0.546681659952962,0.546681659952962
EPAS1,EPAS1,2794,-5.525,-5502,995.853,0.306,0,FALSE,-0.51427857351842,0.51427857351842
PIWIL4,PIWIL4,6450,-5.525,-5502,995.853,0.287,0,FALSE,-0.542118103266008,0.542118103266008
KIAA1614,KIAA1614,4454,-5.519,-5496,995.853,0.327,0,FALSE,-0.485452247339714,0.485452247339714
SASH1,SASH1,7662,-5.517,-5494,995.853,0.374,0,FALSE,-0.42712839779952,0.42712839779952
CTTNBP2,CTTNBP2,2099,-5.516,-5493,995.853,0.186,0,FALSE,-0.730487055782084,0.730487055782084
CD302,CD302,1461,-5.515,-5492,995.853,0.333,0,FALSE,-0.47755576649368,0.47755576649368
MTMR10,MTMR10,5402,-5.515,-5492,995.853,0.49,0,FALSE,-0.309803919971486,0.309803919971486
SLC12A4,SLC12A4,8007,-5.514,-5491,995.853,0.473,0,FALSE,-0.325138859262188,0.325138859262188
COX7A1,COX7A1,1954,-5.51,-5487,995.853,0.196,0,FALSE,-0.707743928643524,0.707743928643524
GPX3,GPX3,3675,-5.51,-5487,995.853,0.095,0,TRUE,-1.02227639471115,1.02227639471115
EIF3L,EIF3L,2709,-5.509,-5486,995.853,0.506,0,FALSE,-0.295849483160201,0.295849483160201
CRYBG3,CRYBG3,2026,-5.506,-5483,995.853,0.292,0,FALSE,-0.534617148551582,0.534617148551582
CCDC3,CCDC3,1357,-5.505,-5482,995.853,0.183,0,FALSE,-0.737548910269571,0.737548910269571
CRTAC1,CRTAC1,2018,-5.505,-5482,995.853,0.124,0,FALSE,-0.906578314837765,0.906578314837765
HFM1,HFM1,3859,-5.5,-5477,995.853,0.254,0,FALSE,-0.595166283380062,0.595166283380062
NRIP2,NRIP2,5845,-5.498,-5475,995.853,0.368,0,TRUE,-0.434152181326482,0.434152181326482
KCNC4,KCNC4,4359,-5.495,-5472,995.853,0.379,0,FALSE,-0.421360790031928,0.421360790031928
SGCE,SGCE,7893,-5.495,-5472,995.853,0.35,0,FALSE,-0.455931955649724,0.455931955649724
A2M,A2M,2,-5.493,-5470,995.853,0.392,0,TRUE,-0.406713932979543,0.406713932979543
PDZD2,PDZD2,6261,-5.493,-5470,995.853,0.198,0,FALSE,-0.703334809738469,0.703334809738469
NOTCH4,NOTCH4,5788,-5.49,-5467,995.853,0.347,0,FALSE,-0.459670525209126,0.459670525209126
